epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1241,1.30318,4.74738,1.20847,0,0,0,0,1.03729,4.85337,1.03536,3.336e-05,3.336e-05,3.336e-05
2,31.6425,1.1231,4.47449,1.06592,0,0,0,0,1.05634,4.57889,0.9297,7.15644e-05,7.15644e-05,7.15644e-05
3,47.9013,0.86965,4.16033,0.93465,0,0,0,0,0.97247,4.48535,0.89022,0.000108998,0.000108998,0.000108998
4,64.1464,0.80913,3.93105,0.91345,0,0,0,0,1.03846,4.4431,0.89046,0.000145661,0.000145661,0.000145661
5,80.3075,0.78793,3.67998,0.89476,0.05612,0.27527,0.05832,0.0451,1.03927,4.18498,0.88048,0.000181554,0.000181554,0.000181554
6,93.7236,0.76021,3.37588,0.87467,0.05095,0.58486,0.07662,0.05948,0.87304,3.87538,0.84204,0.000216676,0.000216676,0.000216676
7,107.068,0.76181,3.18025,0.8894,0.05892,0.75111,0.0921,0.0736,0.87836,3.51033,0.84953,0.000251027,0.000251027,0.000251027
8,119.985,0.7331,2.97975,0.87922,0.06194,0.78074,0.10068,0.0858,0.73156,3.44269,0.82941,0.000284608,0.000284608,0.000284608
9,133.11,0.7458,2.82926,0.88157,0.06297,0.79499,0.11496,0.08839,0.99337,3.40389,0.8747,0.000317418,0.000317418,0.000317418
10,146.128,0.76087,2.76901,0.89083,0.06358,0.79852,0.12852,0.10815,0.74549,3.30233,0.83775,0.000349458,0.000349458,0.000349458
11,159.205,0.74196,2.56917,0.88184,0.06438,0.80752,0.14751,0.11326,0.94128,3.19652,0.87309,0.000380727,0.000380727,0.000380727
12,172.251,0.69189,2.37787,0.86391,0.06994,0.86079,0.15476,0.13123,0.64441,2.93068,0.82847,0.000411225,0.000411225,0.000411225
13,185.141,0.71255,2.29966,0.87167,0.11492,0.69665,0.15792,0.13236,0.6663,2.80033,0.83162,0.000440952,0.000440952,0.000440952
14,198.191,0.68758,2.26253,0.87141,0.1329,0.4152,0.16708,0.1284,0.89923,2.5634,0.87306,0.00046991,0.00046991,0.00046991
15,211.258,0.6489,2.17117,0.85961,0.13798,0.54966,0.19136,0.15777,0.71975,2.20144,0.84258,0.000478938,0.000478938,0.000478938
16,224.482,0.69366,2.2055,0.88023,0.14598,0.63015,0.19599,0.15525,0.84734,2.06832,0.86184,0.000473434,0.000473434,0.000473434
